#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality,correctness, completeness or quality of the information provided. Liability claims regarding damagecaused by the use of any information provided, including any kind of information which is incompleteor incorrect,will therefore be rejected.
#For help contact: synpro@ise.fraunhofer.de
#Sign convention for unidirectional power flow: always '+'. The direction should be clear by the device being a load or a generator.
#Sign convention for bidirectional power flow: '+' = consumption, '-' = production
#Total equals the residual load and is calculated as: total = mono_consumption - mono_production +bidirectional
#All power values are in kW.
;total_cool;total_htg;unixtimestamp
0;0.0;1.491239419377316;0
1;0.0;1.9261324093383452;0
2;0.0;2.3006280396582817;0
3;0.0;2.530164106247472;0
4;0.0;2.663349174563259;0
5;0.0;2.7445235366606147;0
6;0.0;2.807791151125147;0
7;0.0;2.879128094584814;0
8;0.0;2.922462527901733;0
9;0.0;1.861652837165737;0
10;0.0;0.34895575163127335;0
11;0.0;0.06299374468830418;0
12;0.0;1.740004823397579;0
13;0.0;0.0;0
14;0.0;0.0;0
15;0.0;0.0;0
16;0.0;0.0;0
17;0.0;0.0;0
18;0.0;0.0;0
19;0.0;0.0;0
20;0.0;0.0;0
21;0.0;0.0;0
22;0.0;0.0;0
23;0.0;0.0;0
24;0.0;0.0;0
25;0.0;0.0;0
26;0.0;1.2867417846436378;0
27;0.0;2.1561554783790395;0
28;0.0;2.760387915591064;0
29;0.0;3.1776193042364596;0
30;0.0;3.4515584387338656;0
31;0.0;2.2759307229295214;0
32;0.0;2.843898313721018;0
33;0.0;1.3469722770952435;0
34;0.0;1.0430092928231474;0
35;0.0;1.192928245723303;0
36;0.0;1.6347228119122492;0
37;0.0;1.1199509390295275;0
38;0.0;1.5332462659849366;0
39;0.0;1.2423195388745747;0
40;0.0;0.580404050518277;0
41;0.0;0.6189929072771826;0
42;0.0;0.6528802141792749;0
43;0.0;0.0;0
44;0.0;0.0;0
45;0.0;0.0;0
46;0.0;0.0;0
47;0.0;0.2747838424032103;0
48;0.0;0.920829352335624;0
49;0.0;3.2933513717443264;0
50;0.0;3.816835323963842;0
51;0.0;4.188400431735058;0
52;0.0;4.449127145750959;0
53;0.0;4.639574341531502;0
54;0.0;4.767194689707895;0
55;0.0;4.857407969382053;0
56;0.0;4.919171988859572;0
57;0.0;4.433054202960716;0
58;0.0;3.832519928325547;0
59;0.0;2.59537454281942;0
60;0.0;2.3234839583094464;0
61;0.0;2.4419801349981944;0
62;0.0;2.1489677866988655;0
63;0.0;2.8880547845353663;0
64;0.0;3.539741153205045;0
65;0.0;1.5723631578993547;0
66;0.0;1.4912383452610105;0
67;0.0;1.4169817850305695;0
68;0.0;2.886405597263241;0
69;0.0;2.736616317588462;0
70;0.0;3.948401950688284;0
71;0.0;4.13671777775339;0
72;0.0;4.337618311106277;0
73;0.0;4.490460288599908;0
74;0.0;4.588880968952469;0
75;0.0;4.619678656181304;0
76;0.0;4.661823095687564;0
77;0.0;3.627860421629738;0
78;0.0;4.203371405566437;0
79;0.0;2.1937984651089235;0
80;0.0;0.7009970890452465;0
81;0.0;0.6374871347359172;0
82;0.0;2.783095745752725;0
83;0.0;3.0554084622575486;0
84;0.0;2.629362005876808;0
85;0.0;2.372010104649902;0
86;0.0;2.1037032454270808;0
87;0.0;3.5374699919078187;0
88;0.0;2.1248068213490705;0
89;0.0;1.1460304487822586;0
90;0.0;0.5055674680207916;0
91;0.0;0.1269274666818134;0
92;0.0;0.6830206997334417;0
93;0.0;0.6935386695689237;0
94;0.0;0.6088374726007955;0
95;0.0;0.5548137264019949;0
96;0.0;1.8982468837565354;0
97;0.0;3.0015772083382357;0
98;0.0;3.228210473211677;0
99;0.0;3.3716235028801615;0
100;0.0;3.480796831138148;0
101;0.0;3.5745577522920176;0
102;0.0;3.6058728512157328;0
103;0.0;1.3719023025769328;0
104;0.0;0.0;0
105;0.0;0.0;0
106;0.0;0.0;0
107;0.0;0.0;0
108;0.0;0.0;0
109;0.0;0.0;0
110;0.0;0.0;0
111;0.0;0.0;0
112;0.0;0.0;0
113;0.0;0.0;0
114;0.0;0.0;0
115;0.0;0.0;0
116;0.0;0.0;0
117;0.0;0.0;0
118;0.0;0.0;0
119;0.0;0.0;0
120;0.0;0.0;0
121;0.0;0.0;0
122;0.0;0.6491373143674444;0
123;0.0;1.6950984654636454;0
124;0.0;2.4233891651191537;0
125;0.0;2.4165333165504754;0
126;0.0;0.9339020786409868;0
127;0.0;2.454384584686959;0
128;0.0;3.3670284358820703;0
129;0.0;2.4357327848721626;0
130;0.0;0.9821829264784536;0
131;0.0;1.2024748300558197;0
132;0.0;1.5208037553103244;0
133;0.0;2.486766803357291;0
134;0.0;2.0681998835053945;0
135;0.0;1.349636041331949;0
136;0.0;0.960249156192129;0
137;0.0;0.8492316649137625;0
138;0.0;0.7824776458252537;0
139;0.0;0.0;0
140;0.0;0.0;0
141;0.0;0.0;0
142;0.0;0.0;0
143;0.0;1.9379785480733174;0
144;0.0;2.7036440872118233;0
145;0.0;3.0900483345852403;0
146;0.0;3.3129630185968812;0
147;0.0;3.443671905866938;0
148;0.0;3.512171563161588;0
149;0.0;3.523240774731993;0
150;0.0;2.708264705023029;0
151;0.0;3.4536079075762816;0
152;0.0;1.1903261744804852;0
153;0.0;0.3602719499636057;0
154;0.0;1.3051621190549245;0
155;0.0;2.8320925572699305;0
156;0.0;2.9849138937068784;0
157;0.0;3.0963807932170573;0
158;0.0;3.169923033116367;0
159;0.0;3.0969954056616085;0
160;0.0;3.0853740633752973;0
161;0.0;1.633695873294802;0
162;0.0;0.9122682929791677;0
163;0.0;0.0;0
164;0.0;0.0;0
165;0.0;0.0;0
166;0.0;0.0;0
167;0.0;0.0;0
168;0.0;0.0;0
169;0.0;0.0;0
170;0.0;0.13609779025844101;0
171;0.0;2.0197594753653956;0
172;0.0;2.5479778637202117;0
173;0.0;2.793614248886933;0
174;0.0;1.4053208349291642;0
